species,individual,spad,canopy,plant_group
ari_tri,1,49.34,closed,Angiosperm
ari_tri,2,35.58,closed,Angiosperm
ari_tri,3,36.58,closed,Angiosperm
ari_tri,4,37.14,closed,Angiosperm
ari_tri,5,43.72,closed,Angiosperm
ari_tri,6,42.92,closed,Angiosperm
ari_tri,7,44.3,closed,Angiosperm
ari_tri,8,34.84,closed,Angiosperm
ari_tri,9,44.4,closed,Angiosperm
ari_tri,10,37.3,closed,Angiosperm
imp_pal,1,27.04,closed,Angiosperm
imp_pal,2,24.82,closed,Angiosperm
imp_pal,3,27.28,closed,Angiosperm
imp_pal,4,24.76,closed,Angiosperm
imp_pal,5,33.58,closed,Angiosperm
imp_pal,6,25.16,closed,Angiosperm
imp_pal,7,30.42,closed,Angiosperm
imp_pal,8,28.38,closed,Angiosperm
imp_pal,9,28.66,closed,Angiosperm
imp_pal,10,31.56,closed,Angiosperm
eup_pur,1,29.94,open,Angiosperm
eup_pur,2,31.98,open,Angiosperm
eup_pur,3,31.42,open,Angiosperm
eup_pur,4,31.12,open,Angiosperm
eup_pur,5,32.3,open,Angiosperm
eup_pur,6,32.84,open,Angiosperm
eup_pur,7,32.92,open,Angiosperm
eup_pur,8,34.34,open,Angiosperm
eup_pur,9,32.72,open,Angiosperm
eup_pur,10,34.94,open,Angiosperm
lys_cil,1,28.76,open,Angiosperm
lys_cil,2,28.94,open,Angiosperm
lys_cil,3,30.62,open,Angiosperm
lys_cil,4,30.14,open,Angiosperm
lys_cil,5,30.66,open,Angiosperm
lys_cil,6,33.06,open,Angiosperm
lys_cil,7,32.38,open,Angiosperm
lys_cil,8,30.74,open,Angiosperm
lys_cil,9,32.78,open,Angiosperm
lys_cil,10,31.66,open,Angiosperm
age_alt,1,37.04,closed,Angiosperm
age_alt,2,36.14,closed,Angiosperm
age_alt,3,37.58,closed,Angiosperm
age_alt,4,39.4,closed,Angiosperm
age_alt,5,36.54,closed,Angiosperm
age_alt,6,36.56,closed,Angiosperm
age_alt,7,40.52,closed,Angiosperm
age_alt,8,41.46,closed,Angiosperm
age_alt,9,40.46,closed,Angiosperm
age_alt,10,39.04,closed,Angiosperm
rum_ace,1,36.68,open,Angiosperm
rum_ace,2,33,open,Angiosperm
rum_ace,3,31.48,open,Angiosperm
rum_ace,4,35.32,open,Angiosperm
rum_ace,5,39.92,open,Angiosperm
rum_ace,6,31.12,open,Angiosperm
rum_ace,7,36.98,open,Angiosperm
rum_ace,8,33.94,open,Angiosperm
rum_ace,9,32.08,open,Angiosperm
rum_ace,10,33.96,open,Angiosperm
tuss_far,1,32.62,open,Angiosperm
tuss_far,2,29.82,open,Angiosperm
tuss_far,3,29.78,open,Angiosperm
tuss_far,4,29.32,open,Angiosperm
tuss_far,5,29.86,open,Angiosperm
tuss_far,6,29.9,open,Angiosperm
tuss_far,7,28.84,open,Angiosperm
tuss_far,8,30.48,open,Angiosperm
tuss_far,9,34.38,open,Angiosperm
tuss_far,10,26.4,open,Angiosperm
urt_dio,1,25.52,closed,Angiosperm
urt_dio,2,24.78,closed,Angiosperm
urt_dio,3,23.62,closed,Angiosperm
urt_dio,4,25.6,closed,Angiosperm
urt_dio,5,31.8,closed,Angiosperm
urt_dio,6,33.18,closed,Angiosperm
urt_dio,7,34.46,closed,Angiosperm
urt_dio,8,31.66,closed,Angiosperm
urt_dio,9,22.5,closed,Angiosperm
urt_dio,10,30.16,closed,Angiosperm
vio_sp,1,30.28,closed,Angiosperm
vio_sp,2,29.86,closed,Angiosperm
vio_sp,3,27.86,closed,Angiosperm
vio_sp,4,31.2,closed,Angiosperm
vio_sp,5,27.72,closed,Angiosperm
vio_sp,6,30.14,closed,Angiosperm
vio_sp,7,25.82,closed,Angiosperm
vio_sp,8,29.84,closed,Angiosperm
vio_sp,9,33.24,closed,Angiosperm
vio_sp,10,28.7,closed,Angiosperm
eur_div,1,30.68,closed,Angiosperm
eur_div,2,34.8,closed,Angiosperm
eur_div,3,32.62,closed,Angiosperm
eur_div,4,26.6,closed,Angiosperm
eur_div,5,32.14,closed,Angiosperm
eur_div,6,29.94,closed,Angiosperm
eur_div,7,42.46,closed,Angiosperm
eur_div,8,30.12,closed,Angiosperm
eur_div,9,29.86,closed,Angiosperm
eur_div,10,29.5,closed,Angiosperm
adi_ped,1,32.92,closed,Fern
adi_ped,2,31.38,closed,Fern
adi_ped,3,34.6,closed,Fern
adi_ped,4,36.8,closed,Fern
adi_ped,5,38,closed,Fern
adi_ped,6,30.76,closed,Fern
adi_ped,7,32.42,closed,Fern
adi_ped,8,36.22,closed,Fern
adi_ped,9,36.06,closed,Fern
adi_ped,10,35.14,closed,Fern
dry_cri,1,42.52,closed,Fern
dry_cri,2,46,closed,Fern
dry_cri,3,43.98,closed,Fern
dry_cri,4,35.98,closed,Fern
dry_cri,5,43.64,closed,Fern
dry_cri,6,43.56,closed,Fern
dry_cri,7,43.9,closed,Fern
dry_cri,8,31.14,closed,Fern
dry_cri,9,37.5,closed,Fern
dry_cri,10,41.48,closed,Fern
dry_int,1,33.54,closed,Fern
dry_int,2,31.56,closed,Fern
dry_int,3,32.84,closed,Fern
dry_int,4,28.3,closed,Fern
dry_int,5,28.78,closed,Fern
dry_int,6,27.16,closed,Fern
dry_int,7,24.1,closed,Fern
dry_int,8,33.5,closed,Fern
dry_int,9,33.5,closed,Fern
dry_int,10,25.28,closed,Fern
dry_mar,1,48.54,closed,Fern
dry_mar,2,43.56,closed,Fern
dry_mar,3,44.04,closed,Fern
dry_mar,4,43.5,closed,Fern
dry_mar,5,44.76,closed,Fern
dry_mar,6,45,closed,Fern
dry_mar,7,45.18,closed,Fern
dry_mar,8,46.62,closed,Fern
dry_mar,9,44.84,closed,Fern
dry_mar,10,45.2,closed,Fern
ono_sen,1,26.74,open,Fern
ono_sen,2,23.48,open,Fern
ono_sen,3,22.96,open,Fern
ono_sen,4,28.2,open,Fern
ono_sen,5,28.78,open,Fern
ono_sen,6,40.46,open,Fern
ono_sen,7,23.64,open,Fern
ono_sen,8,34.06,open,Fern
ono_sen,9,28.1,open,Fern
ono_sen,10,33.06,open,Fern
osm_cin,1,27.42,open,Fern
osm_cin,2,25.28,open,Fern
osm_cin,3,29.82,open,Fern
osm_cin,4,28.06,open,Fern
osm_cin,5,27.76,open,Fern
osm_cin,6,30.64,open,Fern
osm_cin,7,25.72,open,Fern
osm_cin,8,31.14,open,Fern
osm_cin,9,29.26,open,Fern
osm_cin,10,31.9,open,Fern
osm_cla,1,42.06,closed,Fern
osm_cla,2,44.5,closed,Fern
osm_cla,3,38.14,closed,Fern
osm_cla,4,40.2,closed,Fern
osm_cla,5,26.58,closed,Fern
osm_cla,6,43.12,closed,Fern
osm_cla,7,40.8,closed,Fern
osm_cla,8,39.9,closed,Fern
osm_cla,9,38,closed,Fern
osm_cla,10,39.12,closed,Fern
phe_con,1,35.06,closed,Fern
phe_con,2,36.52,closed,Fern
phe_con,3,36.08,closed,Fern
phe_con,4,36.46,closed,Fern
phe_con,5,33.5,closed,Fern
phe_con,6,31.92,closed,Fern
phe_con,7,28.96,closed,Fern
phe_con,8,31.16,closed,Fern
phe_con,9,30.6,closed,Fern
phe_con,10,29.48,closed,Fern
pol_acr,1,44.9,closed,Fern
pol_acr,2,45.72,closed,Fern
pol_acr,3,58.58,closed,Fern
pol_acr,4,57.38,closed,Fern
pol_acr,5,60.86,closed,Fern
pol_acr,6,61.48,closed,Fern
pol_acr,7,51.88,closed,Fern
pol_acr,8,49.56,closed,Fern
pol_acr,9,67.1,closed,Fern
pol_acr,10,53.3,closed,Fern
pte_aqu,1,36.44,closed,Fern
pte_aqu,2,30.64,closed,Fern
pte_aqu,3,33.72,closed,Fern
pte_aqu,4,30.28,closed,Fern
pte_aqu,5,32.84,closed,Fern
pte_aqu,6,31.46,closed,Fern
pte_aqu,7,35.34,closed,Fern
pte_aqu,8,34.92,closed,Fern
pte_aqu,9,35.22,closed,Fern
pte_aqu,10,35.14,closed,Fern
the_nov,1,25.94,closed,Fern
the_nov,2,29.32,closed,Fern
the_nov,3,30.1,closed,Fern
the_nov,4,28.3,closed,Fern
the_nov,5,26.58,closed,Fern
the_nov,6,25.28,closed,Fern
the_nov,7,30.1,closed,Fern
the_nov,8,32.54,closed,Fern
the_nov,9,29.28,closed,Fern
the_nov,10,29.1,closed,Fern
